,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),FuelTreatment,TSLF(months)
628,HIGHWAY 58,35.433,-120.527,2002,7,563.22,1.35,89.64,300.78,171.45,0,0
237,CANYON,35.435,-118.761,1996,6,1409.58,60.12,95.13,1079.55,174.33,0,0
1523,UNNAMED,35.438,-117.316,1996,6,433.89,0.0,432.0,1.62,0.0,0,0
16,ADELAIDE,35.443,-118.777,1985,5,426.15,31.77,223.11,168.66,2.34,0,0
290,CHISPA,35.45,-120.549,1989,7,3994.74,32.49,735.39,1800.09,1422.45,0,0
1197,RICH BAR COMPLEX,35.451,-118.767,1999,9,892.89,65.61,243.45,575.91,7.65,0,0
1385,STAGECOACH,35.45344473,-118.484881,2020,8,3115.08,0.09,353.43,2242.44,472.95,0,1
40,ANTELOPE,35.458,-119.892,2011,6,2130.93,161.19,296.19,1536.75,134.01,0,0
1196,RICH BAR,35.458,-118.707,1985,6,3294.18,1.8,1175.04,2081.16,4.59,0,0
291,CHOCKTAW,35.459,-118.879,1997,8,4141.62,13.86,313.29,2821.77,992.7,0,0
607,HAVILAH,35.473,-118.553,1988,8,572.58,0.0,132.03,366.66,73.89,0,0
1496,TWISSLEMAN,35.479,-119.897,1988,6,738.63,183.69,41.31,498.06,14.4,0,0
1231,ROUND MOUNTAIN,35.479,-118.909,1996,6,1014.21,0.0,76.86,712.26,225.0,0,0
1529,UNNAMED,35.481,-120.267,1993,6,580.41,0.0,71.64,504.18,4.59,0,0
